THETAO,PR,CHL,SO
6.753244102,4.22E-05,2.19E-07,32.85804723
6.253219424,3.71E-05,3.52E-07,32.90105249
6.026972769,4.01E-05,4.56E-07,32.65591894
6.642700172,2.04E-05,4.17E-07,32.26947185
8.813729426,2.55E-05,3.00E-07,31.91080803
11.44136101,2.37E-05,2.00E-07,31.97068246
14.09343928,2.06E-05,1.55E-07,31.75137057
15.44879651,1.72E-05,1.38E-07,31.54654333
14.07322994,0.000025404,1.66E-07,31.96065803
12.68892178,3.63E-05,2.03E-07,32.1320063
10.82173153,4.44E-05,2.07E-07,32.44696004
9.396972674,5.49E-05,1.51E-07,32.50423996
7.617252118,3.78E-05,2.19E-07,32.54122987
6.750127439,3.00E-05,3.34E-07,32.60478193
6.904831145,2.23E-05,4.25E-07,32.36695531
8.402871852,1.23E-05,4.11E-07,31.90544099
10.8034563,3.35E-05,0.000000266,31.8906292
12.76033216,2.06E-05,1.97E-07,32.0672059
15.04761568,2.07E-05,1.51E-07,31.90738343
15.46822793,1.53E-05,1.50E-07,32.01250064
15.51721237,1.98E-05,1.44E-07,31.90701654
13.18868898,3.57E-05,2.01E-07,32.28133517
10.45878518,6.05E-05,2.14E-07,32.62754662
8.684261867,4.29E-05,1.75E-07,32.85967332
7.362261883,3.80E-05,2.07E-07,32.78761348
6.098296163,3.24E-05,3.62E-07,32.70418043
6.173052411,3.20E-05,4.72E-07,32.75957972
7.203157085,2.43E-05,4.23E-07,32.56660969
9.666487039,2.34E-05,3.22E-07,32.2157303
12.58493766,0.000027693,1.80E-07,31.97932144
13.91394126,2.08E-05,1.71E-07,32.00671479
15.0709521,1.69E-05,1.44E-07,31.68612182
14.04069377,3.96E-05,1.70E-07,32.15994546
12.73312648,3.60E-05,2.07E-07,32.39227269
10.75192663,5.65E-05,0.000000201,32.68128814
9.26567638,3.23E-05,1.74E-07,32.76069195
8.059114931,3.93E-05,1.97E-07,32.89803278
7.302353962,0.000044305,3.19E-07,32.95931005
7.178085588,3.02E-05,4.14E-07,32.92796009
7.992793942,0.000025147,4.47E-07,32.65124865
9.899857982,2.48E-05,0.000000313,32.24063935
12.72078575,1.44E-05,2.02E-07,31.98715045
15.05168315,0.000024771,1.44E-07,32.0318745
16.51283934,1.41E-05,1.31E-07,31.98629007
16.09384755,0.000036132,1.41E-07,32.11462202
13.67066808,4.40E-05,0.000000206,32.77457027
11.45044201,3.86E-05,1.91E-07,32.82954918
8.941350571,4.03E-05,0.000000167,32.66770656
7.481511087,3.92E-05,2.08E-07,33.08473526
6.55877031,3.86E-05,3.83E-07,32.84321065
5.880646765,3.36E-05,5.29E-07,32.6930642
7.378630485,2.32E-05,4.35E-07,32.81385637
9.472377261,2.66E-05,3.21E-07,32.28143644
12.29585007,2.60E-05,1.94E-07,32.17249473
14.19048765,2.05E-05,1.62E-07,32.30788584
14.97230905,2.51E-05,1.58E-07,32.33855355
14.44730063,2.70E-05,1.64E-07,32.40705552
13.00169933,3.48E-05,0.000000212,32.66812273
10.73481048,5.45E-05,2.01E-07,32.81181809
8.854172899,0.000039572,0.000000169,32.78893516
7.55129708,4.55E-05,2.12E-07,33.02010447
6.536338775,4.84E-05,3.73E-07,32.96869521
6.340874864,3.80E-05,4.52E-07,32.96346223
8.087521775,1.86E-05,4.12E-07,32.41917292
10.33685174,2.72E-05,2.87E-07,32.03642365
12.86880506,2.51E-05,1.83E-07,31.72502435
14.09491422,1.58E-05,1.62E-07,31.97912575
14.79558305,2.30E-05,1.52E-07,32.04671409
14.5691185,2.87E-05,1.68E-07,32.22313407
12.2953545,4.57E-05,0.000000221,32.57169358
10.31622998,4.61E-05,0.000000212,32.53446851
8.784047169,4.62E-05,1.67E-07,32.80928399
7.065148985,2.80E-05,0.000000213,32.5237757
5.872695164,1.73E-05,4.18E-07,32.61888279
6.191278893,2.78E-05,4.93E-07,32.61075091
7.269802557,1.63E-05,4.63E-07,32.18337804
9.773994123,2.14E-05,3.07E-07,32.17246465
12.04844598,2.13E-05,1.99E-07,32.11080766
14.9985619,2.20E-05,1.45E-07,32.15991836
15.91254207,0.000018993,1.39E-07,32.07531702
15.41363007,0.000022221,1.50E-07,32.20875407
13.85273109,4.38E-05,1.92E-07,32.53205913
11.47968825,4.60E-05,2.13E-07,32.51182085
9.448808478,5.06E-05,1.61E-07,32.66007425
8.005552504,3.31E-05,0.000000201,33.0908234
7.556415325,0.000038466,3.62E-07,33.05557192
7.191547493,2.73E-05,4.65E-07,32.97224279
8.035008265,2.23E-05,0.000000404,32.87426649
10.82099559,2.59E-05,2.61E-07,32.35325282
13.96456734,0.000026109,1.62E-07,32.01252355
16.08131308,2.52E-05,1.35E-07,32.10575493
16.68665322,2.59E-05,0.000000136,32.35091949
15.61798561,2.52E-05,1.50E-07,32.20225861
13.18857681,4.78E-05,1.96E-07,32.82357679
11.48735571,0.000044972,1.95E-07,32.98497294
9.800891119,4.63E-05,1.72E-07,33.02228397
8.563793913,4.24E-05,0.000000194,33.03249278
7.842694989,4.64E-05,3.13E-07,33.13932433
7.907854966,3.38E-05,3.80E-07,33.16877265
8.824602529,0.000030154,3.76E-07,32.91381658
11.00997226,0.000021915,3.23E-07,32.72454723
14.41234726,0.000017078,1.85E-07,32.33105851
16.83238077,1.63E-05,1.36E-07,31.94482628
16.78151968,0.000016342,1.34E-07,32.37586609
15.94972965,2.26E-05,1.69E-07,32.46925228
13.63863114,2.99E-05,0.000000207,32.7354467
12.08310305,4.71E-05,1.82E-07,33.09669395
10.46350515,5.14E-05,1.60E-07,33.28696296
8.768707602,3.61E-05,2.04E-07,33.12131976
7.90153399,4.43E-05,3.48E-07,33.30934853
7.841156413,3.06E-05,4.23E-07,33.30549599
8.590847158,3.25E-05,4.42E-07,33.12923382
10.68911798,3.12E-05,3.33E-07,32.82565791
13.09338393,2.68E-05,2.09E-07,32.60836127
15.53851852,2.30E-05,1.50E-07,32.77653742
16.15167724,1.64E-05,1.50E-07,32.85283354
15.31083585,2.52E-05,1.76E-07,33.03422316
13.65144712,4.07E-05,2.17E-07,33.46017415
10.98737324,5.50E-05,2.02E-07,33.60768497
9.467540886,5.73E-05,1.65E-07,33.6543652
7.790632702,4.95E-05,2.12E-07,33.65042249
6.849690693,3.12E-05,3.41E-07,33.60370942
6.642861497,2.91E-05,4.39E-07,33.44636855
7.394372847,2.48E-05,4.91E-07,33.0531553
9.709408424,2.37E-05,3.25E-07,33.00622037
12.37315136,3.15E-05,1.92E-07,32.70960645
14.29110243,0.000023019,1.63E-07,32.57654664
14.82693987,2.58E-05,1.65E-07,32.81580768
14.47317981,2.18E-05,1.98E-07,32.98673173
13.17352045,3.23E-05,2.03E-07,32.77342906
10.8648694,4.47E-05,1.93E-07,33.32761943
8.584473263,2.99E-05,1.78E-07,33.17433975
7.355310267,3.04E-05,2.11E-07,33.41038189
6.931052693,0.00004684,3.36E-07,33.45341108
7.073874984,3.21E-05,4.50E-07,33.26733405
7.914359501,0.000024888,3.99E-07,33.0799596
9.940168887,0.000024316,3.23E-07,32.76289936
13.84666607,1.47E-05,1.70E-07,32.2336936
15.09047392,1.75E-05,1.50E-07,32.19332623
16.99076697,1.53E-05,1.25E-07,32.25611021
15.3959784,2.21E-05,1.53E-07,32.36067325
13.27171121,4.51E-05,1.86E-07,32.66736078
11.70023045,5.25E-05,2.00E-07,32.85187481
9.791460162,5.75E-05,1.63E-07,32.99974599
7.991032995,4.61E-05,2.12E-07,32.94597947
7.131268137,3.08E-05,3.25E-07,32.97766846
7.08867309,3.44E-05,4.21E-07,32.68672129
8.430405241,1.79E-05,0.000000349,32.26973035
11.09279244,0.000021923,2.11E-07,31.86787666
12.98889673,0.000029459,1.64E-07,31.8118606
15.31670766,0.000030351,1.41E-07,31.67309289
15.439028,0.000032618,1.46E-07,31.93770848
14.32931109,3.95E-05,1.67E-07,31.82501047
12.49319162,4.40E-05,1.89E-07,32.0725133
11.1485923,4.82E-05,1.97E-07,32.15470714
9.198746644,5.04E-05,1.82E-07,32.24254926
8.025016692,0.000035658,0.000000206,32.39120266
7.571564798,0.00004893,3.14E-07,32.66453569
7.412386253,2.58E-05,4.00E-07,32.39812075
8.39845043,0.00002484,3.81E-07,32.24632917
10.6093714,2.59E-05,2.73E-07,31.83000988
14.44604928,2.47E-05,1.65E-07,31.38070674
17.00976017,1.66E-05,1.24E-07,31.24609727
17.32719107,2.05E-05,1.23E-07,31.61661793
15.72859709,3.89E-05,1.68E-07,32.13088821
13.88750878,4.15E-05,2.12E-07,32.42582671
12.16286739,3.69E-05,1.81E-07,32.4185629
10.31398722,5.36E-05,1.55E-07,32.85698482
8.887360507,3.92E-05,2.08E-07,33.11456201
8.030800615,0.00005369,3.62E-07,32.97390929
7.827347928,3.95E-05,4.74E-07,32.88417996
8.995155958,0.000018954,4.00E-07,32.59521184
11.01873998,1.87E-05,3.04E-07,32.55532652
13.12477708,0.000023879,2.29E-07,32.42996853
15.38091825,1.74E-05,0.00000017,32.37240353
15.47419962,1.61E-05,1.62E-07,32.52053951
15.20986208,2.44E-05,1.64E-07,32.62110554
13.19259313,4.36E-05,0.000000233,32.96936837
11.28537236,5.18E-05,0.0000002,33.34859348
9.672647662,4.54E-05,1.64E-07,33.49219576
7.882569899,3.21E-05,1.95E-07,33.27876635
7.410092154,2.54E-05,3.50E-07,33.33983943
7.239247821,2.24E-05,4.70E-07,32.94031965
7.83934949,2.86E-05,4.13E-07,32.9306174
10.20574535,2.40E-05,2.58E-07,32.58129287
12.66206955,2.12E-05,1.91E-07,32.42631504
15.05619537,1.98E-05,0.000000144,32.44980056
15.20732208,2.95E-05,1.49E-07,32.66582419
14.29837522,2.65E-05,1.71E-07,32.77421055
13.18703187,4.99E-05,1.92E-07,32.80299633
11.40900627,5.10E-05,1.89E-07,32.86606869
9.68264253,5.37E-05,1.60E-07,32.99576922
8.184762455,0.000043839,2.02E-07,33.03952272
7.436923102,0.000026455,3.34E-07,32.95709485
7.131103912,3.43E-05,3.80E-07,32.83776008
8.080542753,0.000029176,3.89E-07,32.75151716
9.903379085,2.30E-05,2.78E-07,32.34956722
12.40317651,2.38E-05,2.03E-07,32.2524289
14.5799658,1.93E-05,1.52E-07,32.12283484
15.40077335,0.000018318,1.41E-07,31.98339716
14.46439595,3.20E-05,1.68E-07,32.21018882
12.99719752,0.000036442,2.04E-07,32.38694161
11.46442427,3.13E-05,1.96E-07,32.49951935
10.00578403,5.14E-05,1.58E-07,32.5984107
8.622657513,4.88E-05,2.01E-07,32.91129135
8.028494353,3.47E-05,3.11E-07,32.90405558
8.021132918,4.70E-05,0.000000427,32.75150232
8.806226297,2.73E-05,4.15E-07,32.48444087
11.88863592,2.83E-05,2.88E-07,31.90642965
14.0144129,2.69E-05,0.000000179,31.79633551
16.80333434,1.94E-05,1.33E-07,31.51309321
17.41940914,2.30E-05,1.26E-07,31.86708555
16.40455664,2.51E-05,1.48E-07,32.2063606
13.393865,4.85E-05,2.09E-07,32.70298925
11.24444347,4.53E-05,2.01E-07,33.05041505
9.155064193,3.72E-05,1.76E-07,33.02705831
7.749643526,4.33E-05,2.20E-07,33.22164372
7.106078415,3.69E-05,3.49E-07,33.3528258
7.265690616,0.000030174,4.33E-07,33.17696678
7.965204947,0.000035605,4.57E-07,32.82204844
9.762228746,2.63E-05,3.25E-07,32.67400284
12.49073829,2.12E-05,2.05E-07,32.46038023
15.08069888,1.62E-05,1.49E-07,32.33070948
15.1587471,2.16E-05,1.56E-07,32.33481944
14.41950536,2.52E-05,1.61E-07,32.6179029
12.90640197,4.00E-05,2.02E-07,32.82881053
11.21729346,3.49E-05,1.90E-07,32.94581479
9.530775786,4.61E-05,1.67E-07,33.01201872
8.084774308,0.000042115,0.000000185,33.00839076
7.467615838,4.98E-05,3.12E-07,33.14029528
7.38899994,3.84E-05,4.01E-07,32.88906786
8.774774283,2.02E-05,3.70E-07,32.56444442
10.61792486,1.91E-05,0.000000264,32.40805045
12.6863787,2.86E-05,1.94E-07,32.17239867
14.99871501,2.75E-05,1.52E-07,32.02086097
15.86135642,2.02E-05,1.42E-07,32.03973279
15.20383524,2.96E-05,1.55E-07,32.05206555
13.55269478,0.000041444,2.00E-07,32.54980208
11.35889801,0.000041844,2.04E-07,32.24556963
9.728925569,4.82E-05,1.70E-07,32.77487782
8.291251052,0.000049668,2.08E-07,32.67319806
7.519511682,2.62E-05,3.23E-07,32.54328258
6.953838483,2.95E-05,4.44E-07,32.40207294
8.174750227,2.52E-05,4.01E-07,32.42639818
10.81136821,2.67E-05,2.43E-07,32.19365434
15.37460106,3.13E-05,0.000000151,31.81389714
16.96306054,2.73E-05,1.26E-07,31.98085983
17.19083524,2.62E-05,1.37E-07,32.08410063
16.55095874,2.69E-05,1.44E-07,32.31172802
14.08489494,5.42E-05,2.07E-07,32.65046255
11.9850061,5.53E-05,1.92E-07,32.62917885
10.11106556,4.60E-05,1.76E-07,32.50099719
8.431762049,4.24E-05,2.16E-07,32.77362127
8.056091563,3.01E-05,3.51E-07,33.09572932
7.96851348,3.91E-05,4.22E-07,33.03530928
8.831641307,3.48E-05,4.26E-07,33.08143094
10.87503486,2.17E-05,3.51E-07,32.22412616
15.1637754,2.41E-05,1.51E-07,32.14553866
16.49753926,1.50E-05,1.43E-07,32.44376745
17.40585514,1.61E-05,0.00000013,32.42524365
16.52835724,2.74E-05,1.55E-07,32.65446549
14.67372705,3.67E-05,2.04E-07,32.9457563
12.47743999,5.16E-05,1.89E-07,33.19433521
10.02292308,4.79E-05,1.76E-07,33.3354512
8.396914796,5.34E-05,2.14E-07,33.40356606
7.74473225,4.25E-05,3.56E-07,33.60315988
7.51393235,4.29E-05,4.39E-07,33.51629052
8.342989668,2.14E-05,4.41E-07,33.32841527
11.10893231,2.17E-05,3.26E-07,32.98537816
13.01232607,3.46E-05,2.03E-07,33.03142518
15.57606818,1.65E-05,0.000000149,32.90430197
16.59034988,1.81E-05,1.40E-07,32.89930767
15.39259347,0.000026317,1.78E-07,33.12601568
13.4924203,4.91E-05,2.23E-07,33.40691359
11.51371769,4.72E-05,2.02E-07,33.51205963
9.714789506,4.50E-05,1.74E-07,33.44074281
8.24395713,4.17E-05,2.05E-07,33.50605639
7.534315449,4.22E-05,3.37E-07,33.49420718
7.490333231,2.75E-05,4.22E-07,33.53590797
8.259802874,3.45E-05,4.65E-07,33.0557409
11.03259858,2.62E-05,0.000000256,32.70198558
13.8056097,2.45E-05,1.69E-07,32.59669916
15.37589739,1.83E-05,1.58E-07,32.73906802
16.1336352,2.46E-05,1.46E-07,32.78360542
15.99883487,2.58E-05,1.56E-07,32.97908909
13.47880695,3.74E-05,2.16E-07,33.15062665
11.68761809,0.000046573,1.96E-07,33.43518195
10.05870755,0.000038173,1.63E-07,33.2817648
8.542960024,3.44E-05,2.02E-07,33.32772976
7.767284604,3.19E-05,3.43E-07,33.33970428
7.896153048,2.78E-05,4.02E-07,33.27760379
8.827778489,3.43E-05,3.66E-07,33.10913161
10.65573739,0.000025585,2.69E-07,32.73569932
13.76113721,2.55E-05,1.63E-07,32.56466527
16.08357363,2.28E-05,1.35E-07,32.50996243
16.73420475,0.000019545,1.41E-07,32.55180802
15.91260408,2.92E-05,1.49E-07,32.7765517
14.05046952,4.12E-05,1.87E-07,33.03206345
12.1121449,4.58E-05,1.86E-07,33.16816068
10.13168586,5.10E-05,1.71E-07,33.15938213
8.590859129,0.000050774,2.15E-07,33.16402505
8.122564631,4.14E-05,3.15E-07,33.13191705
8.004938635,4.09E-05,3.75E-07,32.92264552
8.916470889,2.76E-05,3.53E-07,32.76311942
11.17325718,2.62E-05,2.73E-07,32.30628924
13.63100101,2.35E-05,1.77E-07,32.08864306
15.31197754,1.85E-05,0.000000159,32.25144703
16.11370386,2.80E-05,1.52E-07,32.30414085
15.36774537,3.15E-05,1.69E-07,32.46745607
13.85170253,5.10E-05,1.98E-07,32.55130412
12.063079,4.52E-05,1.83E-07,33.01386272
9.921101593,2.93E-05,1.69E-07,32.84406729
9.009558487,4.36E-05,0.000000202,33.26497124
8.101621419,4.76E-05,3.35E-07,33.13176276
7.990121402,2.33E-05,4.23E-07,32.69588894
9.132389816,1.92E-05,3.69E-07,32.43727279
12.35527275,2.76E-05,2.18E-07,32.42311038
15.21464951,2.68E-05,1.48E-07,32.25391162
16.93671096,2.17E-05,1.27E-07,32.13108465
17.42617176,2.55E-05,1.28E-07,32.38947918
16.50704775,3.54E-05,0.00000015,32.65575485
14.7866237,0.000045993,1.82E-07,32.81448747
13.0371897,4.41E-05,1.88E-07,32.69376505
11.10927434,6.54E-05,0.000000158,33.17421258
9.418861485,4.54E-05,2.02E-07,33.24176316
8.582343561,3.59E-05,3.31E-07,33.32328449
8.03553855,2.51E-05,4.31E-07,32.77249841
9.028816904,3.30E-05,3.56E-07,32.80485939
11.48773612,2.98E-05,2.43E-07,32.25240368
13.79393881,3.30E-05,1.75E-07,32.34529881
16.85485809,1.46E-05,1.31E-07,32.17902347
17.38885366,2.27E-05,1.27E-07,32.27874961
16.16994879,3.65E-05,0.000000153,32.79324202
13.95744594,3.17E-05,1.98E-07,32.90524511
12.06726271,5.07E-05,2.00E-07,32.88843339
10.29314954,5.46E-05,1.77E-07,33.31488043
9.076246371,5.18E-05,2.05E-07,33.43014924
8.364850486,3.57E-05,3.21E-07,33.33698512
8.453149892,2.57E-05,3.95E-07,33.22511624
9.539940773,2.18E-05,3.94E-07,32.67905002
11.26291005,0.000034544,2.74E-07,32.69114699
14.85773612,2.58E-05,1.62E-07,32.31570819
16.29551082,1.73E-05,1.49E-07,32.31815575
17.40782512,0.000028851,1.31E-07,32.48202039
15.95009205,3.27E-05,1.67E-07,32.870048
14.38163644,3.93E-05,1.95E-07,33.07559682
12.46866507,3.79E-05,1.88E-07,33.32427006
10.47144574,5.52E-05,1.60E-07,33.57695275
9.105445735,5.65E-05,2.07E-07,33.6225679
8.646796987,5.03E-05,3.07E-07,33.56697935
8.432082133,2.63E-05,3.96E-07,33.20624332
9.392471483,2.42E-05,0.000000349,33.07770104
11.18108609,0.000021432,2.66E-07,32.532776
14.51020531,2.49E-05,1.58E-07,32.29945135
16.12711488,1.24E-05,1.38E-07,32.32043053
16.67201482,1.40E-05,1.39E-07,32.30891242
16.58391,0.000021244,1.27E-07,32.09121387
14.83307128,2.83E-05,1.55E-07,32.4561241
12.58162171,4.08E-05,0.000000185,32.90760002
10.30629255,5.59E-05,1.59E-07,33.11960699
8.736459426,5.16E-05,2.12E-07,33.00889325
8.116588372,4.77E-05,3.12E-07,33.11880908
7.860060233,2.02E-05,3.82E-07,32.72287612
9.231394444,1.80E-05,3.20E-07,32.54157752
11.10928654,2.36E-05,2.50E-07,32.50085828
13.41372144,2.35E-05,1.79E-07,32.38969565
15.56416557,2.22E-05,1.47E-07,32.28209625
16.77088575,1.69E-05,1.32E-07,32.23871738
16.53164685,2.55E-05,1.36E-07,32.25327232
14.14088418,4.62E-05,1.76E-07,32.54907272
12.09414313,5.82E-05,1.82E-07,32.85512912
10.36347742,5.62E-05,1.62E-07,32.89944587
9.088650359,3.12E-05,1.81E-07,32.67609466
8.011043787,4.95E-05,3.15E-07,32.82643726
7.984610501,3.07E-05,3.61E-07,32.61865328
8.852055489,2.10E-05,3.63E-07,32.27009588
11.24382685,2.34E-05,2.75E-07,32.28769886
15.15985073,1.33E-05,0.000000168,31.86002368
16.5918746,1.89E-05,1.32E-07,32.08000731
18.76473571,1.10E-05,1.13E-07,31.88482512
16.83288684,3.32E-05,1.38E-07,32.19477281
14.63332028,4.25E-05,1.84E-07,32.67957513
11.98040525,5.35E-05,1.99E-07,32.93688195
10.20719512,5.22E-05,1.65E-07,32.99773483
8.981396687,4.49E-05,2.05E-07,33.09621866
8.208572794,4.13E-05,3.42E-07,33.02041075
8.028439853,2.70E-05,3.98E-07,32.64356208
9.009243761,0.000022146,0.000000336,32.7015081
11.63968422,2.21E-05,2.10E-07,32.28612042
13.62163912,2.40E-05,1.64E-07,32.05586234
15.44206477,2.06E-05,1.40E-07,32.10527079
16.90880709,0.000019706,1.28E-07,32.04292175
15.58520143,3.47E-05,1.50E-07,32.44018874
14.07611407,3.57E-05,1.74E-07,32.45637148
12.12529514,4.99E-05,1.99E-07,32.69806027
9.80182441,3.84E-05,1.72E-07,32.46418887
8.476575475,3.48E-05,2.06E-07,32.66955534
8.121587022,2.51E-05,3.41E-07,32.64826276
7.739852392,3.34E-05,3.89E-07,32.47697404
8.642085511,2.98E-05,0.00000029,32.189992
11.37587306,2.40E-05,2.00E-07,31.64764805
14.2728627,3.04E-05,1.49E-07,31.83030727
17.38247513,0.000024109,0.000000118,31.76899378
18.01166242,2.17E-05,1.18E-07,31.78374763
16.90473824,1.75E-05,1.35E-07,31.89132182
14.67297777,4.49E-05,1.65E-07,32.12419285
12.80124937,4.46E-05,1.86E-07,32.27101925
11.17883351,6.25E-05,1.65E-07,32.46939875
9.76405251,5.86E-05,2.00E-07,32.53171924
8.615754675,4.72E-05,3.30E-07,32.35737444
8.431963237,3.90E-05,3.69E-07,32.14950102
9.427303272,3.08E-05,3.26E-07,31.78808365
11.41771267,2.25E-05,0.00000024,31.69403314
14.35702395,2.84E-05,1.64E-07,31.32513142
17.26568513,2.01E-05,0.000000126,31.27114512
18.1398075,2.56E-05,1.18E-07,31.38316803
16.4447946,0.00003672,1.54E-07,31.79762282
14.38559713,2.95E-05,1.87E-07,31.86595231
12.56694564,0.000056199,1.79E-07,32.22883398
10.78380632,5.46E-05,1.69E-07,32.28762012
9.240923362,6.25E-05,2.14E-07,32.13800875
