Date,SO (P2.5),SO (P50),SO (P97.5)
01 Jan 1993,33.57631466393587,33.73673133749643,33.84580377908218
01 Feb 1993,33.2603681031771,33.69622727653196,33.76636943903822
01 Mar 1993,32.985757148443746,33.62946364971124,33.66280504904468
01 Apr 1993,32.97937217686957,33.42438999940755,33.51041388271806
01 May 1993,32.72508446047115,33.05820158877635,33.411123155905784
01 Jun 1993,32.35348597918134,32.8682289251235,33.30332184011879
01 Jul 1993,32.12366220747857,33.10036660252054,33.30616380932546
01 Aug 1993,31.96393432740957,33.03503387774861,33.350217200621806
01 Sep 1993,32.28746721571771,32.88782984448634,33.231371143295625
01 Oct 1993,32.70430340082485,33.34805488542451,33.50422994645057
01 Nov 1993,33.26170996892705,33.60211438984617,33.817539708747354
01 Dec 1993,33.334436112904065,33.71452955765431,34.073731180845954
01 Jan 1994,33.467228099899636,33.78884496560688,34.11553443013077
01 Feb 1994,33.230288492728754,33.70826061952634,33.91759797797245
01 Mar 1994,33.32424232419269,33.58626342749821,33.79656016210381
01 Apr 1994,33.07253952596271,33.42916788142293,33.58499937178759
01 May 1994,32.63606821621949,33.22825797976757,33.3160668273261
01 Jun 1994,32.24474274410074,32.9879921440494,33.07422679632002
01 Jul 1994,32.133898447029075,32.97796885419105,33.14913126300842
01 Aug 1994,31.927162099693863,32.74830925478067,33.123303860497366
01 Sep 1994,32.29345789054131,33.14918671548012,33.52181176656878
01 Oct 1994,32.653896234738156,33.42292188853236,33.798649003156164
01 Nov 1994,33.18637321926236,33.55757474525113,33.7819692931194
01 Dec 1994,33.38420536571855,33.68112433976768,33.97971776211576
01 Jan 1995,32.981006069333674,33.74915647210665,34.139393767316086
01 Feb 1995,33.09841888894988,33.611527809018064,34.11184270588284
01 Mar 1995,33.23974053561494,33.51650996279071,34.12834088473905
01 Apr 1995,33.24069585418296,33.395035305608424,33.922896200848484
01 May 1995,32.73779570925322,33.070730533270044,33.55101746310856
01 Jun 1995,32.54301912768104,32.73525221083955,33.418809913818436
01 Jul 1995,32.16278794991167,32.62235167109205,33.077505648229675
01 Aug 1995,32.26026208607203,32.467975992027114,33.11084892515217
01 Sep 1995,32.57317004724093,32.99794102054199,33.39363350525944
01 Oct 1995,32.671264977298144,33.29702960544652,33.66667391119725
01 Nov 1995,33.18163514880968,33.49431351454813,33.96296321636178
01 Dec 1995,33.32185929371484,33.62735071934419,33.95616448343257
01 Jan 1996,33.54642845041248,33.765666759064715,33.92362111543673
01 Feb 1996,33.31434474788212,33.70295962418078,33.7397395348046
01 Mar 1996,33.11129881311145,33.53460529696805,33.73903319232892
01 Apr 1996,33.234827050601695,33.501281700060474,33.84041023337578
01 May 1996,33.14008438425869,33.42343240240084,33.67625272211524
01 Jun 1996,32.897473982729785,33.11037112512456,33.55781908298384
01 Jul 1996,32.56840820370201,32.76723535301216,34.00733897055812
01 Aug 1996,32.305606941377846,32.46875275300959,33.14121589622563
01 Sep 1996,32.6516815745752,32.80099479758182,33.171555870350616
01 Oct 1996,32.976852443887836,33.35854730957481,33.61757033730909
01 Nov 1996,33.39644176234825,33.55540745388138,33.86405886308056
01 Dec 1996,33.64903206574053,33.92260895728944,34.293186522365005
01 Jan 1997,33.69790928401744,34.02658238083112,34.04495502341366
01 Feb 1997,33.622131390664656,33.77054361983392,33.804208027671
01 Mar 1997,33.4833681243655,33.578169021974034,33.94814424768232
01 Apr 1997,33.174075600549045,33.32022890160033,33.54013406891318
01 May 1997,32.97697349266001,33.06992957460759,33.16251417681207
01 Jun 1997,32.44445341990503,32.863981609290114,33.35954388359735
01 Jul 1997,32.426573872365175,32.51388709943496,32.875944001330986
01 Aug 1997,32.28416439923874,32.42748575457248,32.95254332084965
01 Sep 1997,32.60283888852801,32.73271150046,33.282540522877895
01 Oct 1997,32.8998225885127,33.11861261154854,33.25164814680358
01 Nov 1997,33.29988056330694,33.52259575470487,33.63103488446461
01 Dec 1997,33.41460511357632,33.61743768147159,33.876832572669684
01 Jan 1998,33.45931258827575,33.646483960439426,33.81708482224049
01 Feb 1998,33.38639488868079,33.51755412950597,33.65715078106415
01 Mar 1998,33.27128324009638,33.38298779215575,33.5128036419485
01 Apr 1998,32.995874148137645,33.05011694311472,33.33433809753123
01 May 1998,32.861299545848205,33.06985530135864,33.12505012151277
01 Jun 1998,32.577389438782696,32.68398903461316,32.92291620162071
01 Jul 1998,32.18094697205083,32.36712040454266,33.35718578771157
01 Aug 1998,32.22456487638711,32.27172948073979,33.81244557563251
01 Sep 1998,32.521228346083305,32.66147353249075,33.594188889260444
01 Oct 1998,32.82455034503962,33.019005457978146,33.17865539220884
01 Nov 1998,33.05515813374152,33.34812822512459,33.78972645759497
01 Dec 1998,33.11697708551711,33.493579141975715,33.89336892803807
01 Jan 1999,33.343841067804036,33.48339189187753,33.770657373203576
01 Feb 1999,33.250490090422794,33.46072516063783,33.658288609359396
01 Mar 1999,33.24698737278897,33.50071488238029,33.551429899572305
01 Apr 1999,33.01951504704271,33.17118917596355,33.42498268693111
01 May 1999,32.724043033850236,32.90098728086011,33.5135423017112
01 Jun 1999,32.33547991378132,32.58600974982765,33.504193031629555
01 Jul 1999,32.18623389056561,32.50515662068709,33.26960020213737
01 Aug 1999,32.051134207312934,32.26728646486394,32.32015228926509
01 Sep 1999,32.35780554112573,32.37274579755947,32.663968067670965
01 Oct 1999,32.96980197097279,33.05099493528262,33.192982015109436
01 Nov 1999,32.974357643708544,33.35038321151127,33.645329817985974
01 Dec 1999,33.02559119445625,33.494759818126795,33.94916002209687
