Date,SO (P2.5),SO (P50),SO (P97.5)
01 Jan 1993,33.83978563156818,34.503267512997105,34.86425656236924
01 Feb 1993,34.03463030538148,34.43325792720882,34.773962834930934
01 Mar 1993,33.63361138239929,34.32675042358371,34.45869373998167
01 Apr 1993,33.09516288796522,33.807432869295994,34.35775941488015
01 May 1993,32.58914707910404,33.23320081397393,33.95528660991962
01 Jun 1993,32.486939754491694,33.17934781766987,33.74365181336058
01 Jul 1993,33.06360635879984,33.38195922895384,34.02782215625146
01 Aug 1993,33.53503228988953,34.21898900086227,34.69609709471331
01 Sep 1993,33.686770454920094,34.00617128058183,34.65010482626453
01 Oct 1993,33.55294367857799,34.06640457666851,34.94347824552643
01 Nov 1993,33.6082388051732,34.21534497683428,34.994952398272716
01 Dec 1993,33.95699116074509,34.3862441274624,34.93433286620983
01 Jan 1994,34.022713831240985,34.48245128572349,34.76857094041087
01 Feb 1994,34.35818885611905,34.50921872960987,34.82907110999199
01 Mar 1994,34.318314715467395,34.412620364545525,34.59419354838484
01 Apr 1994,33.35321516989692,33.871889186924484,34.137426254279006
01 May 1994,33.1261982305951,33.48072468568696,33.737862181079485
01 Jun 1994,33.533453314738345,33.71408465248801,33.773361408910574
01 Jul 1994,33.54303783858736,33.928930658272414,34.06802461897947
01 Aug 1994,34.16680698296942,34.359622330248314,34.465573304926856
01 Sep 1994,33.878903558700024,34.34613329675151,34.66373872661136
01 Oct 1994,34.093666363632465,34.33119526676091,35.48977589587432
01 Nov 1994,34.31215538864206,34.67949630553875,35.08016145752738
01 Dec 1994,34.23027966368739,34.541998320288656,34.72078931921899
01 Jan 1995,33.727957377737795,34.457190087458464,34.806827212757824
01 Feb 1995,33.74942219019529,34.25783444130135,34.89073124745642
01 Mar 1995,33.37478477276339,34.046443147649406,34.840195487924284
01 Apr 1995,32.73108737349374,33.65262464101929,34.218368761127756
01 May 1995,32.536557620332275,33.21198753131049,34.108621964592565
01 Jun 1995,31.695792327780044,33.15521840243828,34.22254731539324
01 Jul 1995,31.73300752495268,33.32648188638219,34.46803129401836
01 Aug 1995,32.957330144202956,33.72130048080947,35.09909321350929
01 Sep 1995,33.34943323358295,34.303504488848986,34.983261191730556
01 Oct 1995,33.26735399174948,34.456217726842475,34.95870938082001
01 Nov 1995,33.47247943056804,34.57443004252037,35.05226435079535
01 Dec 1995,33.37744515188994,34.54879043137364,34.88344013706955
01 Jan 1996,33.4378762108423,33.997629802983695,34.93673413772489
01 Feb 1996,33.658862512032854,34.02083233093251,34.99326297365457
01 Mar 1996,33.58193242789155,33.84984217199059,35.04363513584648
01 Apr 1996,32.97499078532255,33.342165685132166,34.54115402269236
01 May 1996,32.720460738784666,33.011927305413856,34.036190429315894
01 Jun 1996,32.73416447787755,33.06623105501243,33.95377054941037
01 Jul 1996,33.24673595789033,33.3366444377237,34.216211961125545
01 Aug 1996,33.53572269511159,33.997868635256175,34.60510588602403
01 Sep 1996,33.476186903189856,34.285456751825414,34.98773304016784
01 Oct 1996,33.69598586364651,34.3222131249781,35.32659394790825
01 Nov 1996,33.84374650987368,34.47562028364694,34.871934025721295
01 Dec 1996,34.08318182175125,34.575851407183336,34.97591633740095
01 Jan 1997,34.100391867046504,34.4805383851519,34.5298008339104
01 Feb 1997,34.28863386591574,34.58979947334982,34.70536445084226
01 Mar 1997,33.68808115775907,34.51297623729699,34.65041438979274
01 Apr 1997,33.27694149276444,33.81072626544195,34.30869824161598
01 May 1997,33.02618257431532,33.62037887400504,33.69907017730594
01 Jun 1997,32.77314275212842,33.70226931637999,33.856869615947815
01 Jul 1997,32.92825659203067,33.76975937299994,34.17003905368613
01 Aug 1997,33.35320670438273,34.19757240068814,34.4755890612706
01 Sep 1997,33.28406461939298,34.191928062808444,34.646996407210416
01 Oct 1997,33.32737100374128,34.22501493864314,34.4583895994832
01 Nov 1997,33.14778595751982,34.19549172598674,34.449970912572994
01 Dec 1997,32.460037753464334,34.058710216643426,34.76887840269225
01 Jan 1998,32.39862612485173,34.16409977779899,35.11442812542718
01 Feb 1998,32.597421862170975,34.12836589975275,35.07674239701863
01 Mar 1998,32.47731668106459,34.01386412402766,34.614338187627965
01 Apr 1998,32.813047181745176,34.06503650969799,34.1738376742572
01 May 1998,32.76876839856685,33.52451984406867,33.742267642992005
01 Jun 1998,33.26961134655273,33.31940074563377,33.785589848999614
01 Jul 1998,32.8829406499663,33.65449289262407,34.24825529864882
01 Aug 1998,33.18302048240259,33.956593393667276,34.74338831982857
01 Sep 1998,32.47593896663191,33.904330561126535,34.997733129475705
01 Oct 1998,33.370067955426435,34.25799320972843,34.81566654776041
01 Nov 1998,33.383650601305945,34.22219592521883,34.99638272582642
01 Dec 1998,33.96562516040647,34.10440652562902,34.423420491085906
01 Jan 1999,33.649388915456385,34.43022234859332,34.81365435986385
01 Feb 1999,33.927646227854325,34.57334171014703,34.95547290000211
01 Mar 1999,33.86475091833158,34.512381171110434,35.01295137701927
01 Apr 1999,33.49089619255738,33.82014956164077,34.664261081767684
01 May 1999,33.08662637552136,33.58382040519494,34.343876695769424
01 Jun 1999,32.887198468133704,33.74793966745494,34.31661468009146
01 Jul 1999,33.06711562824334,33.855530511054134,34.52473721126415
01 Aug 1999,33.31131586329652,34.26212916369569,34.912618937697765
01 Sep 1999,33.26044849046319,33.935815876086366,34.55010273542969
01 Oct 1999,33.29842656027516,33.78478334650037,34.642945414681904
01 Nov 1999,33.14767893889684,34.187223358139185,34.880910884255805
01 Dec 1999,33.52256180347699,34.043281706681405,34.393988316261165
