Date,THETAO (P2.5),THETAO (P50),THETAO (P97.5)
01 Jan 1993,5.932510324364427,7.709916319727154,8.604303219837103
01 Feb 1993,5.235930397449713,6.498246976325859,7.439524290417997
01 Mar 1993,5.328889431400088,6.91606372181235,7.505156338244162
01 Apr 1993,7.235760505567882,8.65375752600353,9.773497841816388
01 May 1993,10.575410393107106,11.263861062226304,11.467499630572746
01 Jun 1993,13.520680881480056,13.64670176363769,14.005431073306095
01 Jul 1993,16.041442539915593,16.29898586728464,17.818444976048518
01 Aug 1993,16.939692048304064,17.501866425082554,17.70636687791499
01 Sep 1993,16.60357402766761,16.807385801344644,16.95657292832595
01 Oct 1993,13.984409387787355,15.003164835983185,15.522087396753358
01 Nov 1993,11.411492275771824,12.015795215483276,12.573207677076459
01 Dec 1993,9.08589046949855,9.170996541063188,10.324349941924476
01 Jan 1994,7.041305142885252,8.363532664265666,8.7985521850983
01 Feb 1994,5.993913481215685,7.174406219403234,8.004870612461183
01 Mar 1994,5.3984886066500914,7.7811964505831135,9.025515217393727
01 Apr 1994,6.916886069260961,9.763474332343664,10.058196277066623
01 May 1994,10.042258903070925,11.915184956751748,12.26112141991982
01 Jun 1994,13.509675214055383,14.154374248041776,15.181795975694955
01 Jul 1994,16.03689243276412,16.550852003909224,17.446293240264076
01 Aug 1994,16.89917150896336,17.71528295604335,18.239915038181454
01 Sep 1994,16.574465314864824,17.212633539489453,18.606132511122784
01 Oct 1994,14.32073306673773,14.700021783730827,16.53688994414081
01 Nov 1994,11.527700738101135,12.161035386411784,12.91404197891843
01 Dec 1994,8.461690514216365,9.402156763344403,9.879967098334888
01 Jan 1995,6.471762593339565,6.857689023000125,7.978300761840075
01 Feb 1995,4.745320782769488,6.240832578486243,8.032319962788721
01 Mar 1995,5.317575377610922,5.8321504087348615,7.226668617003389
01 Apr 1995,7.49644002703,7.989093724194957,9.444274700271912
01 May 1995,10.681836740973825,10.969325478836348,13.01706804893831
01 Jun 1995,13.352987301644925,14.328976872971822,15.694962695228012
01 Jul 1995,15.613261987393173,16.647781843350195,18.157382526951096
01 Aug 1995,16.69956949654335,18.23182259261623,19.35737804331406
01 Sep 1995,16.232514381715006,17.195577977057628,17.99823098883203
01 Oct 1995,14.09764811509768,14.463194709043737,15.857910459917262
01 Nov 1995,11.831553115283977,12.174880438182264,12.908118288598205
01 Dec 1995,8.907380623798991,9.424952064679236,9.49196277474835
01 Jan 1996,6.757648557308945,7.598886206758902,8.510877040205557
01 Feb 1996,5.934161145252269,6.718450030215051,7.961252338086119
01 Mar 1996,5.730043629096536,8.135945200202624,8.557595219238257
01 Apr 1996,7.655688817042049,9.740628135353008,10.034205801692876
01 May 1996,10.611736864106827,11.205321573890346,11.848860254833525
01 Jun 1996,13.920697504260735,15.023743682660422,15.317785414156813
01 Jul 1996,15.69976184292336,16.700687832442615,18.44170234307548
01 Aug 1996,17.405121185913547,18.492623651048106,19.624561397582376
01 Sep 1996,16.65019102611988,17.422229592013018,18.828627883349235
01 Oct 1996,14.866850837319438,15.582113086987995,16.528066038772995
01 Nov 1996,12.33590621132543,12.54649759655761,13.897376157086228
01 Dec 1996,9.829044847466939,10.042684923015852,11.566459592519639
01 Jan 1997,7.41373692534737,7.848436536303829,9.164131988535578
01 Feb 1997,6.209292435999743,7.254565198409056,8.523096820222612
01 Mar 1997,6.445987772464316,7.241043786980236,7.670769088804822
01 Apr 1997,8.21437279359185,9.139793520149562,9.775028055117774
01 May 1997,11.152967241820717,11.610993476469345,13.045644299256509
01 Jun 1997,13.844814017655592,14.121134021823257,14.991264194870514
01 Jul 1997,15.878687402176867,16.58496469226053,16.864333390143834
01 Aug 1997,17.528562343472476,17.750597296857695,19.10910468154803
01 Sep 1997,17.1770552164193,17.38838258100528,17.693823282492957
01 Oct 1997,14.342950956413333,15.201118299004605,16.341108484401207
01 Nov 1997,11.852299608114265,12.977592846593886,13.451577316012658
01 Dec 1997,8.864184225406488,9.779217400907322,9.882778915017083
01 Jan 1998,6.970556107787399,7.418040509639847,8.602631521599706
01 Feb 1998,5.612354125815411,5.932482347923421,7.488174484708635
01 Mar 1998,4.781375762746903,6.085547031799042,7.3271611695073116
01 Apr 1998,7.682832265445593,8.065835713229331,9.04582868818095
01 May 1998,11.187853570518259,11.573759588143043,12.348118424255832
01 Jun 1998,13.49132367279329,14.075266421061418,15.442327622480851
01 Jul 1998,15.663954240862045,16.573897889155337,17.97409967551962
01 Aug 1998,17.295216081011574,17.497233493652093,19.43160024035983
01 Sep 1998,16.25734984559643,16.885220441748846,17.99303204924578
01 Oct 1998,14.203758644827287,14.735315946779153,17.05151118573352
01 Nov 1998,11.413935921911776,12.464929419972282,14.039897358436084
01 Dec 1998,8.847777873144514,9.404352250811593,10.125217107402475
01 Jan 1999,7.3098984878806865,8.761970136169623,8.890015617164643
01 Feb 1999,6.001677959006177,6.791889880450679,8.04841103699881
01 Mar 1999,6.553040200001286,6.896069807103508,8.60614798025095
01 Apr 1999,7.854018790178221,8.94486903415582,10.403293855540324
01 May 1999,10.511498580132118,11.164229488033145,12.330220267452615
01 Jun 1999,13.285515610926176,14.002293276688238,15.04016761780332
01 Jul 1999,16.679202571850066,16.92533889152007,17.707118564132852
01 Aug 1999,18.12271137155786,18.525968785799936,19.19367318961345
01 Sep 1999,17.129107390216678,17.69628824435668,18.670125915013042
01 Oct 1999,15.022798289681806,15.397737834726476,16.779881709092162
01 Nov 1999,12.070431749699212,12.490723861861184,13.286813356064338
01 Dec 1999,8.458471218792697,9.672421982111938,10.632551518120433
