Date,SO (P2.5),SO (P50),SO (P97.5)
01 Jan 1993,33.871582997207305,34.52022688074346,34.855197832832076
01 Feb 1993,34.010493121140975,34.41374220475963,34.748036034983194
01 Mar 1993,33.768409695683474,34.395758338530825,34.48019316298054
01 Apr 1993,33.210688324197314,33.91119175582699,34.403790731067225
01 May 1993,32.71375020075999,33.4040265484963,34.036303520586
01 Jun 1993,32.55705655725988,33.289558281680414,33.82853450157884
01 Jul 1993,33.19610046926571,33.470841805425586,34.10337820283811
01 Aug 1993,33.669982284866016,34.31992748102905,34.774147423382075
01 Sep 1993,33.71218931418364,34.06557173904008,34.70079629402003
01 Oct 1993,33.5749167723207,34.11510423720558,34.98667833725931
01 Nov 1993,33.607288762705274,34.22727077778888,35.02079406137176
01 Dec 1993,33.99233086327736,34.390927599980316,34.96199210519824
01 Jan 1994,34.04860691291785,34.45491108798791,34.772596252779586
01 Feb 1994,34.34819085547888,34.544550335066006,34.811673456048254
01 Mar 1994,34.32713972967942,34.44446815246136,34.62261187324853
01 Apr 1994,33.54911202842146,33.85104956340098,34.18096173606159
01 May 1994,33.2999139369517,33.62553083848169,33.85357906440679
01 Jun 1994,33.56546241651667,33.79798952292584,33.865657969680086
01 Jul 1994,33.641624153507365,33.99483974526779,34.20631106622534
01 Aug 1994,34.26451823331134,34.43222723245973,34.53728513768852
01 Sep 1994,33.971801606234074,34.43022693262509,34.72470315168032
01 Oct 1994,34.18501282103973,34.38418306473093,35.49043749689249
01 Nov 1994,34.314308383817234,34.66139797455342,35.101221438961005
01 Dec 1994,34.26912709254368,34.571485422981404,34.7296277007305
01 Jan 1995,33.80171525290444,34.47888464513782,34.78194363113227
01 Feb 1995,33.77564954493516,34.28862998376686,34.90577400379784
01 Mar 1995,33.53684383399765,34.09495786469036,34.84313541375796
01 Apr 1995,32.94951442963546,33.74669678097313,34.30625358536652
01 May 1995,32.69268530127454,33.36179460898519,34.263682108628046
01 Jun 1995,31.820497782203738,33.26824369238295,34.34509330597678
01 Jul 1995,31.71505054274902,33.40451971803823,34.553613206648855
01 Aug 1995,32.967117006690216,33.824746189417944,35.16045770137311
01 Sep 1995,33.29751827176503,34.35523156030289,35.03181787007083
01 Oct 1995,33.26013314751859,34.486468519654714,35.013638787704984
01 Nov 1995,33.46481420910687,34.606833340640705,35.04973965004028
01 Dec 1995,33.45930205779395,34.567118224269855,34.90109125483933
01 Jan 1996,33.4398868007532,33.98545850849283,34.92132019497428
01 Feb 1996,33.53399450834697,34.0500517168661,35.050713118345804
01 Mar 1996,33.5082880807921,33.87333077985034,35.04419720103825
01 Apr 1996,33.004637891392456,33.43108282510158,34.5535512139128
01 May 1996,32.80491557325034,33.08295084960588,34.13893112260616
01 Jun 1996,32.822749871065625,33.125193175739234,34.029405138629414
01 Jul 1996,33.28815887740894,33.57488243267842,34.275901015969836
01 Aug 1996,33.61715904091926,34.13699561386316,34.62424927710597
01 Sep 1996,33.57960782275592,34.36629954088025,34.975388230569166
01 Oct 1996,33.676964922954916,34.38042672015421,35.33912978420532
01 Nov 1996,33.853800281651544,34.4875648874932,34.907983130726635
01 Dec 1996,34.16125683630888,34.62702393044015,34.94957111335423
01 Jan 1997,34.2170044842761,34.46703124082339,34.54548233535923
01 Feb 1997,34.301775108618536,34.616224967590064,34.72804760334384
01 Mar 1997,33.7949744901303,34.550086326148524,34.669361459136866
01 Apr 1997,33.43376341437391,33.806889311617184,34.30926368564164
01 May 1997,33.18673803285434,33.74958064986451,33.812467372470984
01 Jun 1997,32.87463850608784,33.79170028453353,33.83878032733533
01 Jul 1997,32.95437415073804,33.8479087564596,34.0676581973488
01 Aug 1997,33.39228387655627,34.264477553975176,34.462040596798154
01 Sep 1997,33.332387936139625,34.241359099625875,34.6975690445064
01 Oct 1997,33.35070695773548,34.1598567382705,34.48854280343791
01 Nov 1997,33.30959368488616,34.185956946195994,34.474021522694045
01 Dec 1997,32.54376401235228,34.06228739259874,34.78859046271998
01 Jan 1998,32.49631060215296,34.169478186129375,35.08379055254966
01 Feb 1998,32.73865692164974,34.20784643432482,35.04426407614245
01 Mar 1998,32.633978491316846,34.13058469617407,34.62385053253663
01 Apr 1998,33.14773809918381,34.123927405111814,34.27445171267004
01 May 1998,32.969389111849786,33.65976623577977,33.86062479057402
01 Jun 1998,33.3837401733249,33.46117730929545,33.775513414970725
01 Jul 1998,33.08950972800436,33.71644720480913,34.22342737723018
01 Aug 1998,33.29975177355418,34.04087533157289,34.78171097113075
01 Sep 1998,32.64787177928173,33.98337656221918,35.073584904214826
01 Oct 1998,33.38543818846068,34.279586982001796,34.827384681892745
01 Nov 1998,33.42279665657244,34.238931586621064,34.991932291725725
01 Dec 1998,33.915384338084124,34.156351714679154,34.43274782200632
01 Jan 1999,33.6689762775265,34.44206561290787,34.80980544499351
01 Feb 1999,33.89426716366969,34.5881001866537,34.963202562316646
01 Mar 1999,33.8581453013655,34.49445381477872,35.04832924715812
01 Apr 1999,33.56432273393745,33.79211307179271,34.70212987142243
01 May 1999,33.19840127716894,33.54393392468354,34.44810382490512
01 Jun 1999,32.989425721850225,33.68458703979872,34.39782618273296
01 Jul 1999,33.21596713271479,33.9368068588489,34.56136004061825
01 Aug 1999,33.37874751121355,34.310668811191995,34.926501174678506
01 Sep 1999,33.29774812248604,34.02634647010578,34.57155420620751
01 Oct 1999,33.307614395986356,33.85561250791931,34.65091211314803
01 Nov 1999,33.20503740611107,34.16941710563107,34.9447855973755
01 Dec 1999,33.633413473020354,33.894653338113976,34.43520172157775
