Date,THETAO (P2.5),THETAO (P50),THETAO (P97.5)
01 Jan 1993,6.046985795292845,7.743581565507093,8.623396969824348
01 Feb 1993,5.280953902238247,6.55219731826123,7.536861936232991
01 Mar 1993,5.364276451586735,6.988880824808929,7.626535304954693
01 Apr 1993,7.252534836649886,8.66603813310927,9.799277846344602
01 May 1993,10.447295744640785,11.24191771457714,11.424457046020532
01 Jun 1993,13.408193674427114,13.640001558553388,13.940332043127873
01 Jul 1993,16.030969444430223,16.259303874584226,17.901473981405594
01 Aug 1993,16.85556799584264,17.43706525988359,17.594934167583098
01 Sep 1993,16.57454357218335,16.832811210630663,16.94621138063289
01 Oct 1993,13.985680030612382,15.020953168807825,15.545486261802395
01 Nov 1993,11.464554136205598,12.086155553619628,12.586514839890341
01 Dec 1993,9.132056690534757,9.263478387560816,10.370809541549193
01 Jan 1994,7.131368959910601,8.471109008822918,8.71835171916937
01 Feb 1994,6.094304258411768,7.2639753398804645,8.134239513552592
01 Mar 1994,5.505313630410965,7.952955584360845,9.158054977477475
01 Apr 1994,6.97351507356912,9.79961165515967,10.13394302447152
01 May 1994,10.000928840225233,11.926635988481943,12.142362374813263
01 Jun 1994,13.463391213236259,14.125923614698621,15.066288564097713
01 Jul 1994,15.994445120105642,16.47904390528941,17.282559513907984
01 Aug 1994,16.783632981381068,17.644308119197632,18.16335043758568
01 Sep 1994,16.533959921987872,17.139024221427476,18.64302638203709
01 Oct 1994,14.357219720191711,14.685644273669851,16.61951384212861
01 Nov 1994,11.526295071091388,12.19776319809954,13.01222104601338
01 Dec 1994,8.511418961012762,9.474821705031475,9.981280109537936
01 Jan 1995,6.524644624951968,6.953038240938847,8.046196502833594
01 Feb 1995,4.770767732982316,6.321303425954267,8.031284848874977
01 Mar 1995,5.449476402549027,5.886939919191198,7.333477057841635
01 Apr 1995,7.5060681497104405,8.011663202111418,9.407768909672091
01 May 1995,10.670291180548322,10.949735231565882,13.033786346617065
01 Jun 1995,13.295725185020416,14.274740229246541,15.693752808406368
01 Jul 1995,15.50812907198297,16.610405519721102,18.120154324224167
01 Aug 1995,16.52770870622346,18.12390621275888,19.38228146535649
01 Sep 1995,16.15076720616341,17.17625559084088,17.931162663287047
01 Oct 1995,14.100228964904542,14.501937280413058,15.886386600510006
01 Nov 1995,11.880401557552116,12.17069438997612,12.913780563688945
01 Dec 1995,8.97394736116875,9.496150239621004,9.622194705376893
01 Jan 1996,6.80425590186472,7.685989991001681,8.582392611624575
01 Feb 1996,6.085015106677395,6.858149063714361,7.902023874924655
01 Mar 1996,5.747906932519127,8.346204315950267,8.689220039404185
01 Apr 1996,7.646620141893215,9.796366138087924,9.982043546387816
01 May 1996,10.626883812703348,11.182156284272894,11.868232877395236
01 Jun 1996,13.87947796357322,14.963436661405654,15.26391508920302
01 Jul 1996,15.604628461251762,16.60434247526891,18.418763144834447
01 Aug 1996,17.315620440825413,18.276092062987477,19.52971526380586
01 Sep 1996,16.579911504327285,17.31489046078439,18.782155325055488
01 Oct 1996,14.89123169572158,15.58637524240475,16.530383204535344
01 Nov 1996,12.40438711122272,12.595505642701498,13.97479336294055
01 Dec 1996,9.87275945506563,10.110657558145745,11.709988450298363
01 Jan 1997,7.487332958677836,7.921798871926259,9.264623987097536
01 Feb 1997,6.2682870858139985,7.207745366211497,8.632923838938968
01 Mar 1997,6.511065093942896,7.3433073047896675,7.746145408366042
01 Apr 1997,8.230331107420312,9.28979814967335,9.903531659576473
01 May 1997,11.121342666394995,11.54957524819563,13.002771438411688
01 Jun 1997,13.798797850873713,14.061733162299857,14.967271735980072
01 Jul 1997,15.809827548082415,16.52472846687062,16.802038885741748
01 Aug 1997,17.403226746131374,17.64534768174181,18.969596278289448
01 Sep 1997,17.144734857276884,17.32227593705786,17.69652299273395
01 Oct 1997,14.380546182133752,15.215861589606346,16.333078624747138
01 Nov 1997,11.914086954388884,13.075147235738353,13.465921210838124
01 Dec 1997,8.926162935573068,9.85453148572414,9.986815893360902
01 Jan 1998,7.04010136911643,7.496128604030427,8.64618901512865
01 Feb 1998,5.704716706284097,5.995648682456224,7.603064567336449
01 Mar 1998,5.0546891721441805,6.1418710246814054,7.429512409479016
01 Apr 1998,7.7221272052955765,8.090980281511849,9.069984391532577
01 May 1998,11.138319749187099,11.553307851938682,12.323009797428208
01 Jun 1998,13.421861333351673,14.092968609024012,15.453889523279148
01 Jul 1998,15.49567246242707,16.51234123871339,17.979920317920453
01 Aug 1998,17.185222997352145,17.493871839207987,19.40150680403329
01 Sep 1998,16.20208650959194,16.919739249110425,18.02554204734962
01 Oct 1998,14.216726884085935,14.806369460141536,17.11608915087699
01 Nov 1998,11.488642095967819,12.510820867223146,14.136270608568461
01 Dec 1998,8.96241730054238,9.504071207206403,10.191767353712665
01 Jan 1999,7.3552036149651325,8.80737499065863,8.910734332317137
01 Feb 1999,6.065262060410533,6.871398837450453,8.133360619609087
01 Mar 1999,6.633616914734824,6.999242296373729,8.757904283584377
01 Apr 1999,7.864478176953296,8.992944337475645,10.496555061615393
01 May 1999,10.451581838875839,11.164433235233988,12.31479475060101
01 Jun 1999,13.221884431770007,13.9868244130434,15.03139222087682
01 Jul 1999,16.549916043402646,16.841538034814054,17.737167419796954
01 Aug 1999,18.016254638432095,18.465272306105085,19.099912416299855
01 Sep 1999,17.17752697978209,17.820702525460174,18.595677339453264
01 Oct 1999,15.062964218598808,15.465752321222249,16.778174888207555
01 Nov 1999,12.144415320344482,12.536874561542737,13.386543882887052
01 Dec 1999,8.454940993252345,9.718112199063091,10.697770487797907
