Date,THETAO (P2.5),THETAO (P50),THETAO (P97.5)
01 Jan 1993,3.530575621001052,5.416903673177456,5.641814596392423
01 Feb 1993,2.3526824329510627,3.8520622310402075,4.460892628337388
01 Mar 1993,2.4490031855659793,3.8273155510634047,4.87442663744055
01 Apr 1993,4.644383554509417,5.844273285056939,6.202478364283759
01 May 1993,8.207278166154634,9.059575712689798,9.827314523396385
01 Jun 1993,12.019129215819397,12.434825140251473,13.240153219461655
01 Jul 1993,15.586556582645091,15.966247954949504,17.133737124681804
01 Aug 1993,17.325615628081273,17.567547781182828,18.11236798172957
01 Sep 1993,15.069635123407465,15.922904742502912,16.21260419558385
01 Oct 1993,12.305690256808882,14.105568083231287,14.309959931526565
01 Nov 1993,9.025747202404904,10.772778498148408,11.499443486282363
01 Dec 1993,7.350790257888838,7.508597534628695,7.9053363213083205
01 Jan 1994,4.0549303567046415,5.331520583404639,6.454405506298332
01 Feb 1994,2.5433027587575605,4.3993658373767754,4.543860730005655
01 Mar 1994,2.1037993780799535,4.671284046216749,5.453251436304956
01 Apr 1994,3.8163136775624658,6.515318100854011,6.997585612707835
01 May 1994,7.189260440801264,10.3448001996482,10.688113528185808
01 Jun 1994,11.210498242163501,14.027084242877685,14.646653829144828
01 Jul 1994,14.915891422967688,16.463451897773663,16.867441798517486
01 Aug 1994,17.093936471533677,17.893957757308335,18.673859760626843
01 Sep 1994,15.968359610397108,16.73359929215975,17.73835244689006
01 Oct 1994,13.019437038381739,14.021371357294214,15.193623945687843
01 Nov 1994,9.983327488055863,11.094055475170359,11.615687388124627
01 Dec 1994,6.709723099825833,7.221983617405893,7.91886966779932
01 Jan 1995,3.992436282187995,5.075050229654135,5.470218968258071
01 Feb 1995,3.7665181883379564,4.089867692842203,4.272972376887845
01 Mar 1995,3.221852977644384,4.36873895302582,5.505620992832328
01 Apr 1995,5.080674759155754,6.0749019141619405,7.588610007014898
01 May 1995,9.397357748064804,9.62696928068404,11.219161683227838
01 Jun 1995,12.869055773703463,13.64257307918779,14.706542830229461
01 Jul 1995,15.690566057517568,16.51240013612299,17.75410678032583
01 Aug 1995,17.75049258314385,18.670470966890086,19.850928473815983
01 Sep 1995,16.786142380044883,17.002275421461935,18.406407786225838
01 Oct 1995,13.687244023452783,13.819036847255294,15.04533161877291
01 Nov 1995,10.498676873755239,10.918024606829904,11.131600928924588
01 Dec 1995,6.912825513618913,7.533984598811635,8.215500247603776
01 Jan 1996,4.234301305841002,5.847025012169958,6.506931761021458
01 Feb 1996,3.65921187250683,4.321402988632395,5.624925784146013
01 Mar 1996,3.8009311378035933,4.479830049790117,5.781100569941475
01 Apr 1996,5.84316958133837,6.521608754149789,7.361391888362693
01 May 1996,9.39488255696261,9.492286044547793,10.379332068906265
01 Jun 1996,13.210654514895202,13.98160801037833,14.52301600808522
01 Jul 1996,16.40819082945689,16.5451323867516,18.278926833009066
01 Aug 1996,17.748674297028412,19.291291183978544,20.05165990139971
01 Sep 1996,16.597279254945214,17.613589472837837,18.02868059849808
01 Oct 1996,13.679202258848026,15.07011838569897,15.546948552429448
01 Nov 1996,10.692028987567243,10.91689194296988,11.737404056563463
01 Dec 1996,7.688642490920442,8.094124846057033,8.56878612183195
01 Jan 1997,5.287625420216934,5.75363008738931,7.022871667681182
01 Feb 1997,3.0806128217570103,4.881418517779006,6.131597058397603
01 Mar 1997,3.117521407155421,5.003891946717283,5.51342484220463
01 Apr 1997,5.592543612190702,6.606859813758666,7.048052983401608
01 May 1997,9.526607219996478,9.833108824555024,10.784816730012448
01 Jun 1997,13.104399719763975,13.563113389834513,14.276662731090441
01 Jul 1997,15.284167427519593,16.50592739611881,16.75663944550839
01 Aug 1997,17.438766917086088,17.87420468395306,18.3844843950762
01 Sep 1997,16.68283601093875,16.770288968313928,17.29855606539854
01 Oct 1997,13.514299686727698,13.972521041764594,15.347181277272911
01 Nov 1997,10.255524342941504,11.763482426244714,12.620693097773843
01 Dec 1997,7.2628558703890915,7.993861053243905,8.696473715449299
01 Jan 1998,3.6085142304672297,4.875852422400789,5.843096668818514
01 Feb 1998,0.4319737696067807,2.7494060272716254,5.073487456643026
01 Mar 1998,0.46874478723396706,3.5273289562388546,5.4130753099049125
01 Apr 1998,3.986841484215455,5.675460968758598,6.833533127471047
01 May 1998,7.52448226251919,9.380860539394211,10.381751149312302
01 Jun 1998,12.206590284203077,12.960631195199827,13.554803694058355
01 Jul 1998,15.602717979779305,16.540657387152528,17.37851437089505
01 Aug 1998,17.076009228270326,18.199157672276364,19.055681127719218
01 Sep 1998,15.729291798117346,16.936034209411414,17.67933698044374
01 Oct 1998,13.46823150526518,13.720198395351904,15.196587468333156
01 Nov 1998,9.97700430326026,10.812012938554343,12.31638476971347
01 Dec 1998,5.931815996574063,8.040837212862746,8.768089868574844
01 Jan 1999,4.996162676235464,5.32811167914505,6.424353369554003
01 Feb 1999,1.8589514603126829,4.462957371499482,5.177420464181876
01 Mar 1999,2.7933765823489356,4.896032176638723,5.599213626814708
01 Apr 1999,5.325011782930732,6.686143273969437,7.5960857235366985
01 May 1999,8.54299119362147,9.63146139031296,10.40085979946566
01 Jun 1999,12.687091176249947,13.34659924689416,14.127968107567396
01 Jul 1999,15.020328846203999,16.022540706021775,17.369413007604965
01 Aug 1999,17.61771741220837,18.00437262689336,18.21806609049465
01 Sep 1999,15.115507080867612,16.854317996219702,17.112749446792737
01 Oct 1999,13.546537954645325,13.997627711627294,14.449425585549362
01 Nov 1999,10.648735771627589,10.792910965396977,11.144259548198255
