Date,CHL (P2.5),CHL (P50),CHL (P97.5)
01 Jan 1998,9.116771345734141e-07,1.0529564440429258e-06,1.1942357535124375e-06
01 Feb 1998,1.795021722475245e-06,1.8394272663835045e-06,1.8838328102917642e-06
01 Mar 1998,1.3641690077283966e-06,1.6401876711724473e-06,1.9162063346164975e-06
01 Apr 1998,1.0205663110127886e-06,1.152996009694769e-06,1.2854257083767493e-06
01 May 1998,3.9868184537789474e-07,4.283101134194398e-07,4.5793838146098486e-07
01 Jun 1998,3.257075038503261e-07,4.5163463308460737e-07,5.775617623188887e-07
01 Jul 1998,1.5003572015885772e-07,1.806461401312768e-07,2.112565601036959e-07
01 Aug 1998,2.0443136284531143e-07,2.807778520918324e-07,3.5712434133835343e-07
01 Sep 1998,2.3090668513886881e-07,3.5507449334026733e-07,4.792423015416657e-07
01 Oct 1998,9.411474002393945e-07,9.470141355865245e-07,9.528808709336545e-07
01 Nov 1998,1.11722954436373e-06,1.177506699469772e-06,1.237783854575814e-06
01 Dec 1998,9.661819215609178e-07,1.0093192994038302e-06,1.0524566772467426e-06
01 Jan 1999,9.718026553386465e-07,1.0583340163776507e-06,1.1448653774166552e-06
01 Feb 1999,1.3153109397377588e-06,1.436875905685122e-06,1.5584408716324851e-06
01 Mar 1999,1.2536187498548052e-06,1.4325707208080929e-06,1.6115226917613803e-06
01 Apr 1999,9.542335086365208e-07,1.050314464437386e-06,1.1463954202382514e-06
01 May 1999,6.049404444846794e-07,6.563081148200672e-07,7.07675785155455e-07
01 Jun 1999,2.0691267835131596e-07,2.442842648707283e-07,2.8165585139014055e-07
01 Jul 1999,1.2004357133562282e-07,3.0554159473890843e-07,4.91039618142194e-07
01 Aug 1999,9.39734317228194e-08,1.2515932088341e-07,1.5634521004400062e-07
01 Sep 1999,4.813577185056375e-07,5.209033453713327e-07,5.604489722370279e-07
01 Oct 1999,8.267641484451919e-07,8.7739844458609e-07,9.280327407269882e-07
01 Nov 1999,1.216280341466235e-06,1.235085574225729e-06,1.2538908069852233e-06
01 Dec 1999,9.369028966678123e-07,9.892772887806042e-07,1.041651680893396e-06
01 Jan 2000,8.3731889598612e-07,9.166443023112349e-07,9.959697086363497e-07
01 Feb 2000,1.6683691422606664e-06,1.8517259625310335e-06,2.0350827828014005e-06
01 Mar 2000,1.3225978305580473e-06,1.7024827064875576e-06,2.0823675824170677e-06
01 Apr 2000,4.1079154425808763e-07,7.519262723689138e-07,1.09306100047974e-06
01 May 2000,3.87680962654346e-07,4.848696234321219e-07,5.820582842098978e-07
01 Jun 2000,7.821470040637603e-08,1.1988424087563028e-07,1.6155378134488452e-07
01 Jul 2000,1.7442979051850263e-07,3.3188528753322645e-07,4.893407845479503e-07
01 Aug 2000,2.0696882309546387e-07,2.1664149503781045e-07,2.2631416698015703e-07
01 Sep 2000,4.123611457189696e-07,5.603713375214965e-07,7.083815293240235e-07
01 Oct 2000,8.033895822161549e-07,8.517480662907513e-07,9.001065503653477e-07
01 Nov 2000,1.1579584905038367e-06,1.199669086933352e-06,1.2413796833628674e-06
01 Dec 2000,7.094427226506714e-07,8.757784122906359e-07,1.0421141019306003e-06
01 Jan 2001,8.320414972965026e-07,9.12095713471255e-07,9.921499296460072e-07
01 Feb 2001,9.397361229758663e-07,1.0529567694978458e-06,1.1661774160198254e-06
01 Mar 2001,1.2570864663252713e-06,1.3500222927936794e-06,1.4429581192620877e-06
01 Apr 2001,7.510693983410852e-07,9.948717444602644e-07,1.2386740905794435e-06
01 May 2001,2.124042440629931e-07,4.715495386004996e-07,7.306948331380061e-07
01 Jun 2001,3.1866746005987303e-07,3.6544298344342507e-07,4.122185068269771e-07
01 Jul 2001,2.658228457645124e-07,2.889705254224072e-07,3.121182050803021e-07
01 Aug 2001,2.3254523884593473e-07,2.6452531271901296e-07,2.965053865920912e-07
01 Sep 2001,2.2276362357338633e-07,2.94681255600561e-07,3.665988876277357e-07
01 Oct 2001,7.688424890791727e-07,8.485111297487374e-07,9.281797704183019e-07
01 Nov 2001,1.0925966971716503e-06,1.1135026574216162e-06,1.134408617671582e-06
01 Dec 2001,9.927888309188698e-07,1.0003299534570409e-06,1.0078710759952117e-06
01 Jan 2002,8.818803756893626e-07,9.041562024573806e-07,9.264320292253987e-07
01 Feb 2002,9.800203361598226e-07,1.5247949294023874e-06,2.069569522644952e-06
01 Mar 2002,1.5582233829702687e-06,1.6296217902115754e-06,1.7010201974528823e-06
01 Apr 2002,8.188277185616678e-07,9.578819753317914e-07,1.0969362321019152e-06
01 May 2002,4.950492805039936e-07,5.941853771981751e-07,6.933214738923566e-07
01 Jun 2002,1.188176032808603e-07,3.069309709637847e-07,4.950443386467092e-07
01 Jul 2002,5.702287303263857e-09,1.1404574606527755e-07,2.2238920482729125e-07
01 Aug 2002,3.0325976467167777e-07,3.665859741648553e-07,4.299121836580328e-07
01 Sep 2002,3.520231713189751e-07,4.1294890825512935e-07,4.7387464519128355e-07
01 Oct 2002,7.999132533459336e-07,8.383160970481085e-07,8.767189407502835e-07
01 Nov 2002,1.2785840842702344e-06,1.2854013455516892e-06,1.2922186068331442e-06
01 Dec 2002,9.90250971682042e-07,1.026418064674198e-06,1.0625851576663539e-06
01 Jan 2003,7.202696890385781e-07,8.185870777446474e-07,9.169044664507168e-07
01 Feb 2003,1.1088161431212236e-06,1.1941015653455632e-06,1.2793869875699027e-06
01 Mar 2003,1.5112399544628134e-06,1.737458254580418e-06,1.9636765546980227e-06
01 Apr 2003,8.811789490195134e-07,9.183701451755567e-07,9.555613413316e-07
01 May 2003,2.0860618531057346e-07,3.2840954850022443e-07,4.4821291168987534e-07
01 Jun 2003,2.5130805010294305e-07,2.8743482523516886e-07,3.235616003673946e-07
01 Jul 2003,7.649782548593158e-08,1.6148535308303393e-07,2.464728806801363e-07
01 Aug 2003,1.3063005996255977e-07,2.90140837625184e-07,4.496516152878083e-07
01 Sep 2003,4.069807063553789e-07,4.845168886840632e-07,5.620530710127474e-07
01 Oct 2003,8.4746564858426e-07,9.001646759709625e-07,9.52863703357665e-07
01 Nov 2003,1.2074963842820924e-06,1.2498305849898455e-06,1.2921647856975985e-06
01 Dec 2003,9.99660181967237e-07,1.0373659388103428e-06,1.0750716956534482e-06
01 Jan 2004,9.43958736211325e-07,9.445679266096801e-07,9.45177117008035e-07
01 Feb 2004,1.0366830613048127e-06,1.2224678043656352e-06,1.4082525474264574e-06
01 Mar 2004,1.5074547444843175e-06,1.5833430248178221e-06,1.6592313051513268e-06
01 Apr 2004,9.677756393291618e-07,1.0261216808253604e-06,1.084467722321559e-06
01 May 2004,1.726450879896908e-07,2.899034325938363e-07,4.0716177719798187e-07
01 Jun 2004,2.8022329520974827e-07,3.278920897718867e-07,3.7556088433402515e-07
01 Jul 2004,5.350011311032522e-09,1.0700022622065082e-07,2.086504411302691e-07
01 Aug 2004,5.3183346106380044e-08,2.0318427609842327e-07,3.5318520609046654e-07
01 Sep 2004,2.803389923100683e-07,4.802150115549442e-07,6.800910307998202e-07
01 Oct 2004,7.394297199766969e-07,7.919035164086524e-07,8.443773128406077e-07
01 Nov 2004,1.2786025731444643e-06,1.3320946997398277e-06,1.385586826335191e-06
01 Dec 2004,1.042955032447496e-06,1.0495136286714906e-06,1.0560722248954851e-06
01 Jan 2005,9.369062055769973e-07,1.0965862325781028e-06,1.2562662595792082e-06
01 Feb 2005,1.2859563119239978e-06,1.3996598742135381e-06,1.5133634365030784e-06
01 Mar 2005,1.5643595433584704e-06,1.6108647639729748e-06,1.6573699845874794e-06
01 Apr 2005,5.015897403074356e-07,6.496790012301313e-07,7.97768262152827e-07
01 May 2005,6.62011253263399e-08,3.933826736920337e-07,7.205642220577276e-07
01 Jun 2005,2.1271579561859307e-07,2.326482671433719e-07,2.525807386681507e-07
01 Jul 2005,1.4245916208477137e-07,2.07137176450236e-07,2.7181519081570065e-07
01 Aug 2005,1.102362778126452e-07,1.1853481228802216e-07,1.2683334676339913e-07
01 Sep 2005,4.010162139867256e-07,4.070019109748218e-07,4.12987607962918e-07
01 Oct 2005,9.422453564604416e-07,9.918446639953483e-07,1.0414439715302552e-06
01 Nov 2005,1.237290920404962e-06,1.2423783620757963e-06,1.2474658037466306e-06
01 Dec 2005,9.83979807754828e-07,9.90273957288076e-07,9.96568106821324e-07
01 Jan 2006,8.001930214227176e-07,8.40461507791446e-07,8.807299941601744e-07
01 Feb 2006,1.6613786417694013e-06,1.705186385025316e-06,1.7489941282812304e-06
01 Mar 2006,1.753387384958329e-06,1.9173437893521194e-06,2.08130019374591e-06
01 Apr 2006,1.0296873978893018e-06,1.1510741312170278e-06,1.2724608645447538e-06
01 May 2006,1.4278593877326196e-08,2.8557187754652494e-07,5.568651612157237e-07
01 Jun 2006,3.15289969114955e-07,3.305916883043835e-07,3.4589340749381206e-07
01 Jul 2006,3.6208483939334395e-09,7.241696787866905e-08,1.4121308736340467e-07
01 Aug 2006,2.439686765867198e-09,4.879373531734414e-08,9.514778386882109e-08
01 Sep 2006,2.9243190142069373e-07,3.1009010865533395e-07,3.277483158899741e-07
01 Oct 2006,9.464244766922219e-07,9.485248839947657e-07,9.506252912973095e-07
01 Nov 2006,1.16547627593607e-06,1.3154079269861106e-06,1.4653395780361511e-06
01 Dec 2006,9.713408222027369e-07,9.734212820096555e-07,9.755017418165744e-07
01 Jan 2007,8.101014783434188e-07,8.877542071886338e-07,9.65406936033849e-07
01 Feb 2007,1.5519033782250017e-06,1.61599679719878e-06,1.6800902161725583e-06
01 Mar 2007,1.8610794158842912e-06,1.9120875555964253e-06,1.9630956953085593e-06
01 Apr 2007,8.895212631262084e-07,9.641898176218025e-07,1.0388583721173968e-06
01 May 2007,1.0102408600987201e-07,2.3392391704302272e-07,3.6682374807617345e-07
01 Jun 2007,1.587147619587671e-07,2.49178315543051e-07,3.3964186912733493e-07
01 Jul 2007,1.347455121472236e-07,1.3814418702071285e-07,1.415428618942021e-07
01 Aug 2007,1.9344312549965915e-07,2.182497773696587e-07,2.4305642923965826e-07
01 Sep 2007,3.651404151792744e-07,3.878162338871683e-07,4.1049205259506224e-07
01 Oct 2007,8.133757108860613e-07,8.143168406124165e-07,8.152579703387719e-07
01 Nov 2007,1.1961433299197353e-06,1.2075555700409596e-06,1.2189678101621842e-06
01 Dec 2007,1.084271317686854e-06,1.1201845034513302e-06,1.1560976892158066e-06
01 Jan 2008,8.225908182545002e-07,8.82286983942914e-07,9.41983149631328e-07
01 Feb 2008,1.0593763432707043e-06,1.0602356033443889e-06,1.0610948634180732e-06
01 Mar 2008,1.3551683483244154e-06,1.6213251233379871e-06,1.8874818983515586e-06
01 Apr 2008,8.37644014984955e-07,8.434987863145811e-07,8.493535576442073e-07
01 May 2008,3.551168303954911e-07,4.793993875231167e-07,6.036819446507422e-07
01 Jun 2008,2.574933042959893e-07,3.414406957264909e-07,4.2538808715699255e-07
01 Jul 2008,4.572208628255314e-07,4.669140425572215e-07,4.766072222889116e-07
01 Aug 2008,3.657882524443966e-07,3.7080464055242473e-07,3.7582102866045283e-07
01 Sep 2008,4.312388902454355e-07,5.460241483104305e-07,6.608094063754256e-07
01 Oct 2008,8.932505638472747e-07,1.0078103470743958e-06,1.122370130301517e-06
01 Nov 2008,1.2469025691837123e-06,1.3020658964318036e-06,1.3572292236798946e-06
01 Dec 2008,9.999317260210308e-07,1.0287230253065747e-06,1.0575143245921187e-06
01 Jan 2009,8.890916910202067e-07,9.031037521592697e-07,9.171158132983327e-07
01 Feb 2009,9.554911840497407e-07,1.0679499517155163e-06,1.1804087193812916e-06
01 Mar 2009,1.2754457154189446e-06,1.794866943874774e-06,2.314288172330603e-06
01 Apr 2009,4.92435095036223e-07,5.660719201455907e-07,6.397087452549585e-07
01 May 2009,1.6572870153337955e-07,2.6903405180782247e-07,3.7233940208226544e-07
01 Jun 2009,4.373932006755529e-08,1.5641856912781245e-07,2.690978181880696e-07
01 Jul 2009,1.1471572602202003e-07,1.6188945396589126e-07,2.090631819097625e-07
01 Aug 2009,8.707267758108344e-09,1.0912739240437256e-07,2.0954751705063678e-07
01 Sep 2009,2.2026894102257832e-07,2.7787087157730486e-07,3.354728021320314e-07
01 Oct 2009,8.511986018534675e-07,8.719617372126805e-07,8.927248725718935e-07
01 Nov 2009,1.2266545747272775e-06,1.3604028312167912e-06,1.4941510877063047e-06
01 Dec 2009,1.0396674263593679e-06,1.0549473816041205e-06,1.070227336848873e-06
01 Jan 2010,8.809222141910945e-07,9.67924520381186e-07,1.0549268265712775e-06
01 Feb 2010,1.0722486354208488e-06,1.078925913829914e-06,1.0856031922389793e-06
01 Mar 2010,1.2643612851630254e-06,1.4754391823998694e-06,1.6865170796367135e-06
01 Apr 2010,7.18240392168066e-07,7.425999302804545e-07,7.669594683928429e-07
01 May 2010,8.490601253480849e-08,1.0768788590281235e-07,1.3046975927081623e-07
01 Jun 2010,2.2058493918638884e-07,3.8603349818425736e-07,5.514820571821259e-07
01 Jul 2010,1.4720668718825144e-07,3.333287589127975e-07,5.194508306373436e-07
01 Aug 2010,2.5407192195519744e-07,2.949044366153835e-07,3.3573695127556953e-07
01 Sep 2010,4.79799046601247e-07,5.24741634170227e-07,5.696842217392069e-07
01 Oct 2010,9.360439845268018e-07,9.484498067506115e-07,9.608556289744214e-07
01 Nov 2010,1.2498507041875771e-06,1.2819034910045363e-06,1.3139562778214955e-06
01 Dec 2010,1.010796677565262e-06,1.0197233197333837e-06,1.0286499619015057e-06
01 Jan 2011,7.63212708201482e-07,8.221276259400572e-07,8.810425436786323e-07
01 Feb 2011,1.2796793961999453e-06,1.51003284741888e-06,1.740386298637815e-06
01 Mar 2011,1.62134464624942e-06,1.9295851581747826e-06,2.237825670100145e-06
01 Apr 2011,4.969469055999533e-07,8.024171461271219e-07,1.1078873866542906e-06
01 May 2011,4.5530122999370106e-08,3.4859286495005173e-07,6.516556069007334e-07
01 Jun 2011,1.0201279623970028e-07,1.3591479663425407e-07,1.6981679702880785e-07
01 Jul 2011,1.8826019480198714e-09,3.7652038960397565e-08,7.342147597277526e-08
01 Aug 2011,1.1171631747319443e-07,1.689656344355755e-07,2.2621495139795654e-07
01 Sep 2011,3.498524652351697e-07,3.9670175664998165e-07,4.435510480647936e-07
01 Oct 2011,9.305236114430214e-07,9.733062975984444e-07,1.0160889837538672e-06
01 Nov 2011,1.1947848931942612e-06,1.2138729163788092e-06,1.232960939563357e-06
01 Dec 2011,8.592170560211387e-07,9.918105588787428e-07,1.124404061736347e-06
01 Jan 2012,9.6859989767023e-07,1.0312199459671937e-06,1.0938399942641572e-06
01 Feb 2012,1.1598822123253135e-06,1.2727869713449827e-06,1.3856917303646521e-06
01 Mar 2012,1.2824203974886152e-06,1.5582516664725688e-06,1.8340829354565226e-06
01 Apr 2012,7.32617898768104e-07,8.121653556358086e-07,8.917128125035133e-07
01 May 2012,1.9117439498680534e-07,2.658846033440912e-07,3.405948117013771e-07
01 Jun 2012,1.5011351929155506e-07,3.1764438781200576e-07,4.851752563324565e-07
01 Jul 2012,2.8604214620305022e-08,2.1353419022207837e-07,3.984641658238517e-07
01 Aug 2012,1.4019039912788335e-07,2.1527055796579653e-07,2.903507168037097e-07
01 Sep 2012,4.13485409596797e-07,4.7316628369575843e-07,5.328471577947198e-07
01 Oct 2012,7.518680887345946e-07,7.520636721994513e-07,7.522592556643079e-07
01 Nov 2012,1.2946450786599006e-06,1.2975925431722418e-06,1.300540007684583e-06
01 Dec 2012,1.0239309604845472e-06,1.1412255262132018e-06,1.2585200919418562e-06
01 Jan 2013,8.747913204810995e-07,9.068683090384542e-07,9.389452975958089e-07
01 Feb 2013,9.524534435021456e-07,1.3122574458833675e-06,1.6720614482645896e-06
01 Mar 2013,1.7190061942072808e-06,2.0213702081072515e-06,2.3237342220072215e-06
01 Apr 2013,7.658149568272833e-07,1.0571113883960961e-06,1.3484078199649088e-06
01 May 2013,2.4336982615455317e-07,4.6412114514552833e-07,6.848724641365034e-07
01 Jun 2013,1.9428743267422851e-07,4.132187562751146e-07,6.321500798760007e-07
01 Jul 2013,1.4688139890574177e-07,3.696756714949644e-07,5.92469944084187e-07
01 Aug 2013,8.931229492266327e-08,2.9411479922086524e-07,4.989173035190672e-07
01 Sep 2013,2.7378270448049106e-07,4.372244696067074e-07,6.006662347329238e-07
01 Oct 2013,1.1246565338185332e-06,1.1748721600606596e-06,1.2250877863027862e-06
01 Nov 2013,1.2948704431202263e-06,1.3464419628173575e-06,1.3980134825144884e-06
01 Dec 2013,9.313656774407666e-07,9.882829562822754e-07,1.0452002351237842e-06
01 Jan 2014,8.318396607519674e-07,8.858909829939375e-07,9.399423052359077e-07
01 Feb 2014,1.157943945387742e-06,1.4736002118900802e-06,1.7892564783924186e-06
01 Mar 2014,1.6680712092279408e-06,1.9046073515213628e-06,2.141143493814785e-06
01 Apr 2014,5.052328354788628e-07,7.470578334989516e-07,9.888828315190405e-07
01 May 2014,9.037551587197556e-08,2.6298262460972653e-07,4.3558973334747757e-07
01 Jun 2014,1.0528656448695682e-07,2.9577581275882317e-07,4.862650610306895e-07
01 Jul 2014,1.2532392348616248e-07,1.4792566312425202e-07,1.7052740276234157e-07
01 Aug 2014,4.6134510120027135e-08,8.362395830019664e-08,1.2111340648036615e-07
01 Sep 2014,2.458932338195954e-07,4.1174745128973036e-07,5.776016687598653e-07
01 Oct 2014,9.030703101549609e-07,9.428550283264976e-07,9.82639746498034e-07
01 Nov 2014,1.2627808584803452e-06,1.2765512699334603e-06,1.2903216813865754e-06
01 Dec 2014,1.106447824089228e-06,1.18581465653532e-06,1.2651814889814117e-06
01 Jan 2015,9.054301386207988e-07,9.381238273654428e-07,9.708175161100869e-07
01 Feb 2015,1.2581487440187538e-06,1.3206352018892347e-06,1.3831216597597155e-06
01 Mar 2015,1.4321281949644635e-06,1.5098757243542882e-06,1.5876232537441132e-06
01 Apr 2015,7.084781519572153e-07,8.035685787710619e-07,8.986590055849085e-07
01 May 2015,7.324771262439651e-08,2.958055239308982e-07,5.183633352373999e-07
01 Jun 2015,1.519997333206875e-07,1.7059994884509046e-07,1.8920016436949344e-07
01 Jul 2015,1.9605484768384122e-07,2.3167245292306745e-07,2.672900581622937e-07
01 Aug 2015,1.6052769369387194e-07,2.515986653119761e-07,3.426696369300803e-07
01 Sep 2015,1.94525654530738e-07,3.373491850869631e-07,4.801727156431883e-07
01 Oct 2015,9.69368377377413e-07,1.0238618827407897e-06,1.078355388104166e-06
01 Nov 2015,1.358306424828911e-06,1.3727630003431274e-06,1.3872195758573437e-06
01 Dec 2015,1.0828124690747677e-06,1.0890472714308718e-06,1.0952820737869762e-06
01 Jan 2016,1.0134822682464082e-06,1.0949620606541918e-06,1.1764418530619755e-06
01 Feb 2016,9.870073048558578e-07,1.0958910137302748e-06,1.2047747226046916e-06
01 Mar 2016,2.0478120494830266e-06,2.232009385285255e-06,2.4162067210874837e-06
01 Apr 2016,1.3575710247464788e-06,1.4693590403018172e-06,1.5811470558571555e-06
01 May 2016,6.55604477982474e-07,7.011021997847122e-07,7.465999215869503e-07
01 Jun 2016,6.140626255539862e-07,6.595624252015606e-07,7.05062224849135e-07
01 Jul 2016,1.7456772341739473e-07,2.838051928723712e-07,3.930426623273477e-07
01 Aug 2016,3.1019391751081547e-07,3.9260169708515765e-07,4.750094766594998e-07
01 Sep 2016,4.0198063711343914e-07,4.804061253487965e-07,5.588316135841539e-07
01 Oct 2016,9.068323806748605e-07,9.177153755208667e-07,9.285983703668728e-07
01 Nov 2016,1.2207813347597575e-06,1.2643344303798626e-06,1.3078875259999677e-06
01 Dec 2016,8.584222329662973e-07,9.377360657959492e-07,1.017049898625601e-06
01 Jan 2017,9.404928560155403e-07,9.508772748572671e-07,9.61261693698994e-07
01 Feb 2017,1.5746570771323705e-06,1.7095518666559436e-06,1.8444466561795167e-06
01 Mar 2017,2.028276214481157e-06,2.108413455689009e-06,2.1885506968968605e-06
01 Apr 2017,1.1799467102639191e-06,1.2351933469663124e-06,1.2904399836687057e-06
01 May 2017,2.1078465712606404e-07,4.2773802811226547e-07,6.446913990984669e-07
01 Jun 2017,5.062826302571044e-07,5.904735845960183e-07,6.746645389349322e-07
01 Jul 2017,2.779245901063449e-07,4.086068389707794e-07,5.39289087835214e-07
01 Aug 2017,1.6122740942596235e-07,2.945762788758181e-07,4.279251483256739e-07
01 Sep 2017,6.05045281853145e-07,6.360131311141795e-07,6.669809803752141e-07
01 Oct 2017,8.10787968734558e-07,9.773675827434286e-07,1.1439471967522992e-06
01 Nov 2017,1.1997739318183483e-06,1.3441474119637987e-06,1.4885208921092488e-06
01 Dec 2017,1.0715015608930895e-06,1.0859924491437155e-06,1.1004833373943416e-06
01 Jan 2018,1.0721642218295038e-06,1.128770980773542e-06,1.18537773971758e-06
01 Feb 2018,1.4615563569108389e-06,1.607926096634222e-06,1.754295836357605e-06
01 Mar 2018,1.6337006904758467e-06,1.652148585320314e-06,1.6705964801647812e-06
01 Apr 2018,9.590313848942281e-07,9.800956495657807e-07,1.0011599142373334e-06
01 May 2018,7.533832090362865e-07,7.574783994373423e-07,7.615735898383981e-07
01 Jun 2018,4.0806939770754066e-07,4.4458004112081704e-07,4.810906845340935e-07
01 Jul 2018,2.0050457270878657e-07,3.0684957288213516e-07,4.1319457305548376e-07
01 Aug 2018,2.092327763340592e-07,3.311717164974012e-07,4.5311065666074325e-07
01 Sep 2018,3.2642516146694e-07,4.2403735283758446e-07,5.216495442082289e-07
01 Oct 2018,8.95076608182307e-07,9.8540714794103e-07,1.075737687699753e-06
01 Nov 2018,1.1203100663063366e-06,1.2026438995327482e-06,1.2849777327591597e-06
01 Dec 2018,1.1386908533482764e-06,1.2335756807679567e-06,1.3284605081876368e-06
01 Jan 2019,9.079331899926072e-07,9.69176252310735e-07,1.0304193146288632e-06
01 Feb 2019,1.3425195762731143e-06,1.490743463985784e-06,1.6389673516984536e-06
01 Mar 2019,1.4145895939988177e-06,1.5495207170215407e-06,1.6844518400442635e-06
01 Apr 2019,7.254772634604779e-07,7.884246430082076e-07,8.513720225559374e-07
01 May 2019,3.093778787798055e-07,3.7251206502150116e-07,4.3564625126319677e-07
01 Jun 2019,3.515040025396461e-07,4.088969417017719e-07,4.6628988086389765e-07
01 Jul 2019,2.515078742516041e-07,3.656695042065624e-07,4.798311341615206e-07
01 Aug 2019,1.7131178941187382e-07,2.9220869102419307e-07,4.131055926365123e-07
01 Sep 2019,3.138568094161569e-07,4.3781961015571997e-07,5.61782410895283e-07
01 Oct 2019,8.842010413394692e-07,9.08288071541907e-07,9.323751017443449e-07
