Filename,Method,Year,Metric
FMBORS_THETAO_585_12M_2030_2040\FMBORS_THETAO_585_12M_2030_2040_jsd.csv,jsd,sub_ts_Jun2032_May2033,0.002236243954324194
FMBORS_THETAO_585_12M_2030_2040\FMBORS_THETAO_585_12M_2030_2040_symn.csv,symn,sub_ts_Jun2035_May2036,0.15333206856264733
FMBORS_THETAO_585_12M_2030_2040\FMBORS_THETAO_585_12M_2030_2040_symd.csv,symd,sub_ts_Jul2035_Jun2036,0.1716476567476317
FMBORS_THETAO_585_12M_2030_2040\FMBORS_THETAO_585_12M_2030_2040_symp.csv,symp,sub_ts_Oct2034_Sep2035,0.22163096645641772
